Improved model Classification report;;;;;
;;;;;
Language;Precision;Recall;F1-score;Support;
Konkani;0.00;0.00;0.00;150;
Hindi;0.29;0.07;0.11;150;
Sanskrit;0.79;0.83;0.81;150;
Santali;0.73;0.56;0.63;150;
Marathi;0.37;0.83;0.52;150;
Sindhi;0.59;0.60;0.60;150;
Kashmiri;0.85;0.79;0.82;150;
Bodo;0.53;0.85;0.66;150;
Tamil;0.81;0.87;0.84;150;
Maithili;0.00;0.00;0.00;150;
Kannada;0.80;0.68;0.73;150;
Telugu;0.74;0.87;0.80;150;
Punjabi;0.44;0.81;0.57;150;
Malayalam;0.86;0.89;0.88;150;
Nepali;0.69;0.82;0.75;150;
Dogri;0.50;0.41;0.45;150;
Manipuri;0.62;0.43;0.51;150;
Assamese;0.89;0.92;0.90;150;
Urdu;0.41;0.74;0.53;150;
Gujarati;0.70;0.81;0.75;150;
Odia;0.18;0.03;0.05;150;
Bengali;0.50;0.70;0.58;150;
Accuracy;;;0.61;3300;
Macro Avg;0.56;0.61;0.57;3300;
Weighted Avg;0.56;0.61;0.57;3300;
